"id","kingdom","phylum","order","family","genus","species","Lon","Lat","year","month","day","datasetName","datasetId","datasetKey","photo","bibliographicCitation","speciesAccepted","authority","status"
4007,"Animalia","Chordata","Eupercaria incertae sedis","Haemulidae","Pomadasys","Pomadasys peroteti","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pomadasys perotaei","(Cuvier, 1830)","unaccepted"
4008,"Animalia","Chordata","Scombriformes","Scombridae","Scomberomorus","Scomberomorus tritor","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Scomberomorus tritor","(Cuvier, 1832)","accepted"
4009,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Ethmalosa","Ethmalosa fimbriata","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Ethmalosa fimbriata","(Bowdich, 1825)","accepted"
4010,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Sardinella","Sardinella maderensis","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sardinella maderensis","(Lowe, 1838)","accepted"
4011,"Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna mokarran","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyrna mokarran","(Rüppell, 1837)","accepted"
4012,"Animalia","Chordata","Carangaria incertae sedis","Sphyraenidae","Sphyraena","Sphyraena afra","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyraena afra","Peters, 1844","accepted"
4013,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis margarita","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Fontitrygon margarita","(Günther, 1870)","unaccepted"
4014,"Animalia","Chordata","Perciformes","Serranidae","Epinephelus","Epinephelus aeneus","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Epinephelus aeneus","(Geoffroy Saint-Hilaire, 1817)","accepted"
4015,"Animalia","Chordata","Eupercaria incertae sedis","Lethrinidae","Lethrinus","Lethrinus atlanticus","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lethrinus atlanticus","Valenciennes, 1830","accepted"
4016,"Animalia","Chordata","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus dentatus","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lutjanus dentatus","(Duméril, 1861)","accepted"
4017,"Animalia","Chordata","Eupercaria incertae sedis","Sparidae","Pagrus","Pagrus caeruleostictus","-16.085423","11.300882","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pagrus caeruleostictus","(Valenciennes, 1830)","accepted"
